id;nom;departement;salaire
1;Computer Avon;Licensed Plastic Sausages Tools Tuna;52408
2;Tunisia;Credit Card Account Secured Sleek Fresh Hat;13348
3;Incredible mindshare Identity;Agent portals;47828
4;revolutionize virtual Orchestrator;Quality Directives;84953
5;deposit Overpass Personal Loan Account;Bahamian Dollar Brand metrics;74951
6;Frozen virtual Rand Loti;digital Beauty Kuwaiti Dinar;84550
7;solutions index installation;withdrawal Euro invoice;62981
8;internet solution;Sports;611
9;Extended;compressing pink;51333
10;markets;web-enabled;73189
